product	source_table	domain	move	target
BF	creation_session_connections	Canvas & ideas	primitive	connection
BF	creation_session_members	Canvas & ideas	primitive	membership
BF	creation_session_invites	Canvas & ideas	primitive	invitation
BF	creation_session_snapshots	Canvas & ideas	primitive	snapshot
BF	creation_session_events	Canvas & ideas	primitive	event_log
BF	creation_outcome_events	Canvas & ideas	primitive	event_log
BF	creation_session_comments	Canvas & ideas	primitive	annotation
BF	creation_session_project_links	Canvas & ideas	primitive	share_link
BF	creation_session_templates	Canvas & ideas	primitive	catalog_item
BF	creation_session_claims	Canvas & ideas	keep	creation_session_claims
BF	marketplace_purchases	Commerce	primitive	ledger_entry
BF	access_reviews	Governance & security	primitive	annotation
BF	deliverable_updates	Delivery & work	merged	(folded into a sibling)
BF	demo_events	Platform & observability	primitive	event_log
BF	sales_leads	Revenue & CRM	merged	marketing_leads
BF	business_contacts	Revenue & CRM	keep	business_contacts
BF	support_tickets	Support & knowledge	keep	support_tickets
BF	deck_templates	Investor & portfolio	primitive	catalog_item
BF	generated_decks	Commerce	keep	generated_decks
BF	freelancer_profiles	Commerce	primitive	party_role
BF	deliverable_proposals	Delivery & work	keep	deliverable_proposals
BF	freelancer_reviews	Commerce	primitive	annotation
BF	rfp_requests	Platform & observability	merged	(folded into a sibling)
BF	rfp_responses	Platform & observability	primitive	response
BF	catalog_adoption_events	Platform & observability	primitive	event_log
BF	sales_contacts	Revenue & CRM	keep	sales_contacts
BF	sales_campaigns	Revenue & CRM	merged	marketing_campaigns
BF	sales_weekly_goals	Revenue & CRM	primitive	work_item
BF	sales_coaching_notes	Revenue & CRM	primitive	annotation
BF	sales_canvas_sessions	Revenue & CRM	merged	(folded into a sibling)
BF	sales_commission_rules	Revenue & CRM	primitive	ledger_entry
BF	sales_associate_settings	Revenue & CRM	primitive	setting
BF	sales_referrals	Revenue & CRM	keep	sales_referrals
BF	release_notes	Delivery & work	primitive	annotation
BF	api_error_log	Platform & observability	primitive	event_log
BF	deployment_events	Delivery & work	primitive	event_log
BF	report_schedules	Platform & observability	primitive	setting
BF	security_incidents	Governance & security	keep	security_incidents
BF	mvp_scenarios	Investor & portfolio	keep	mvp_scenarios
BF	validation_results	Investor & portfolio	primitive	response
BF	product_releases	Investor & portfolio	keep	product_releases
BF	changelog_entries	Platform & observability	keep	changelog_entries
BF	vulnerability_scans	Governance & security	keep	vulnerability_scans
BF	vulnerability_findings	Governance & security	keep	vulnerability_findings
BF	qa_journey_events	Delivery & work	primitive	event_log
BF	qa_flows	Delivery & work	keep	qa_flows
BF	qa_tests	Delivery & work	keep	qa_tests
BF	qa_targets	Delivery & work	keep	qa_targets
BF	qa_credentials	Delivery & work	primitive	credential
BF	qa_explorations	Delivery & work	keep	qa_explorations
BF	qa_findings	Delivery & work	keep	qa_findings
BF	qa_routing_settings	Delivery & work	primitive	setting
BF	qa_schedules	Delivery & work	primitive	setting
BF	repo_branches	Delivery & work	keep	repo_branches
BF	pull_requests	Platform & observability	merged	(folded into a sibling)
BF	pr_reconciliation_runs	Delivery & work	primitive	run
BF	pr_reconciliation_items	Delivery & work	keep	pr_reconciliation_items
BF	pr_reconciliation_errors	Delivery & work	keep	pr_reconciliation_errors
BF	repo_analysis_evidence	Delivery & work	keep	repo_analysis_evidence
BF	prod_incidents	Delivery & work	keep	prod_incidents
BF	on_call_rotations	Delivery & work	keep	on_call_rotations
BF	escalation_policies	Delivery & work	primitive	setting
BF	escalation_levels	Delivery & work	keep	escalation_levels
BF	monitors	Agents & runtime	keep	monitors
BF	monitor_events	Agents & runtime	primitive	event_log
BF	incident_events	Delivery & work	primitive	event_log
BF	error_collectors	Platform & observability	keep	error_collectors
BF	error_collector_integrations	Platform & observability	primitive	connection
BF	error_mapping_rules	Platform & observability	primitive	setting
BF	error_groups	Platform & observability	keep	error_groups
BF	error_events	Platform & observability	primitive	event_log
BF	alerts	Platform & observability	primitive	webhook
BF	alert_events	Platform & observability	primitive	event_log
BF	drive_connections	Integrations	primitive	connection
BF	privacy_requests	Governance & security	merged	(folded into a sibling)
BF	source_control_integrations	Platform & observability	primitive	connection
BF	security_ticket_access	Governance & security	primitive	membership
BF	security_audits	Governance & security	keep	security_audits
BF	approvals	Delivery & work	keep	approvals
BF	approval_rules	Delivery & work	primitive	setting
BF	admin_audit_log	Growth & marketing	primitive	event_log
BF	soc_controls	Governance & security	keep	soc_controls
BF	soc_evidence	Governance & security	keep	soc_evidence
BF	pii_data_assets	Governance & security	keep	pii_data_assets
BF	security_dpas	Governance & security	keep	security_dpas
BF	compliance_events	Governance & security	primitive	event_log
BF	data_subject_requests	Governance & security	merged	(folded into a sibling)
BF	data_suppression_list	Growth & marketing	keep	data_suppression_list
BF	feature_flags	Platform & observability	primitive	annotation
BF	business_value_configs	Platform & observability	primitive	setting
BF	feature_roi	Platform & observability	merged	(folded into a sibling)
BF	feature_scores	Platform & observability	primitive	metric_fact
BF	ticket_audits	Support & knowledge	keep	ticket_audits
BF	ai_tool_adoption	Agents & runtime	merged	(folded into a sibling)
BF	industry_benchmarks	Platform & observability	primitive	metric_fact
BF	saved_queries	Revenue & CRM	merged	(folded into a sibling)
BF	lens_snapshots	Platform & observability	primitive	snapshot
BF	forecast_anomaly_acks	Finance	keep	forecast_anomaly_acks
BF	policy_packs	Governance & security	primitive	catalog_item
BF	policy_gates	Governance & security	keep	policy_gates
BF	site_traffic_daily	Growth & marketing	flatten	metric_fact + a scheduled rollup
BF	site_collections	Growth & marketing	keep	site_collections
BF	site_records	Growth & marketing	keep	site_records
BF	marketing_sender_identities	Growth & marketing	keep	marketing_sender_identities
BF	marketing_audiences	Growth & marketing	keep	marketing_audiences
BF	marketing_audience_members	Growth & marketing	primitive	membership
BF	marketing_suppressions	Growth & marketing	merged	(folded into a sibling)
BF	marketing_templates	Growth & marketing	primitive	catalog_item
BF	marketing_assets	Growth & marketing	keep	marketing_assets
BF	marketing_campaigns	Growth & marketing	keep	marketing_campaigns
BF	marketing_campaign_sends	Growth & marketing	primitive	webhook
BF	users	Identity & tenancy	keep	users
BF	legal_documents	Governance & security	session	creation_session + live session
BF	legal_document_versions	Governance & security	primitive	revision
BF	user_legal_acceptances	Identity & tenancy	merged	(folded into a sibling)
BF	user_mfa_recovery_codes	Identity & tenancy	merged	(folded into a sibling)
BF	auth_user_sessions	Identity & tenancy	keep	auth_user_sessions
BF	auth_tokens	Identity & tenancy	primitive	share_link
BF	developer_api_keys	Platform & observability	merged	(folded into a sibling)
BF	tenant_api_keys	Identity & tenancy	primitive	credential
BF	tenant_mcp_extensions	Identity & tenancy	merged	(folded into a sibling)
BF	tenants	Identity & tenancy	keep	tenants
BF	segments	Identity & tenancy	keep	segments
BF	tenant_members	Identity & tenancy	primitive	membership
BF	tenant_invitations	Identity & tenancy	primitive	invitation
BF	tenant_manager_defaults	Identity & tenancy	primitive	setting
BF	member_profiles	Identity & tenancy	primitive	party_role
BF	member_metrics_period	Identity & tenancy	keep	member_metrics_period
BF	tenant_skill_assignments	Identity & tenancy	primitive	membership
BF	chat_sessions	Identity & tenancy	session	creation_session + live session
BF	chat_members	Platform & observability	primitive	membership
BF	oauth_accounts	Identity & tenancy	primitive	connection
BF	magic_link_tokens	Platform & observability	primitive	share_link
BF	dev_team_members	Delivery & work	primitive	membership
BF	team_members	Identity & tenancy	primitive	membership
BF	admin_impersonation_sessions	Growth & marketing	keep	admin_impersonation_sessions
BF	admin_impersonation_role_switches	Growth & marketing	keep	admin_impersonation_role_switches
BF	role_permission_overrides	Identity & tenancy	primitive	relation
BF	tenant_custom_roles	Identity & tenancy	merged	(folded into a sibling)
BF	platform_modules	Platform & observability	merged	(folded into a sibling)
BF	tenant_member_modules	Identity & tenancy	keep	tenant_member_modules
BF	user_permission_overrides	Identity & tenancy	primitive	relation
BF	ceremony_sessions	Delivery & work	session	creation_session + live session
BF	meeting_transcript_segments	Canvas & ideas	keep	meeting_transcript_segments
BF	user_availability	Identity & tenancy	merged	(folded into a sibling)
BF	poker_sessions	Delivery & work	session	creation_session + live session
BF	import_staged_users	Integrations	primitive	sync_state
BF	device_authorizations	Governance & security	keep	device_authorizations
BF	vscode_connections	Platform & observability	primitive	connection
BF	tenant_models	Identity & tenancy	merged	(folded into a sibling)
BF	marketing_sessions	Growth & marketing	keep	marketing_sessions
BF	on_call_members	Platform & observability	primitive	membership
BF	error_group_users	Platform & observability	merged	(folded into a sibling)
BF	tenant_benchmark_profiles	Identity & tenancy	primitive	party_role
BF	member_personas	Identity & tenancy	merged	(folded into a sibling)
BF	tenant_llm_provider_keys	Identity & tenancy	primitive	credential
BF	tenant_openrouter_connections	Identity & tenancy	primitive	connection
BF	llm_usage_log	Agents & runtime	primitive	event_log
BF	llm_failover_log	Agents & runtime	primitive	event_log
BF	llm_health_probes	Agents & runtime	keep	llm_health_probes
BF	llm_traces	Agents & runtime	keep	llm_traces
BF	pending_prompts	Agents & runtime	keep	pending_prompts
BF	platform_personas	Platform & observability	keep	platform_personas
BF	brain_chat_trace	Canvas & ideas	keep	brain_chat_trace
BF	prompt_library_entries	Canvas & ideas	keep	prompt_library_entries
BF	prompt_library_versions	Canvas & ideas	primitive	revision
BF	prompt_library_stars	Canvas & ideas	merged	(folded into a sibling)
BF	security_vendors	Governance & security	keep	security_vendors
BF	security_trainings	Governance & security	keep	security_trainings
BF	personality_events	Platform & observability	primitive	event_log
BF	trait_reinforcements	People & HR	keep	trait_reinforcements
BF	marketplace_personas	Commerce	merged	(folded into a sibling)
BF	knowledge_training_assignments	Support & knowledge	primitive	membership
BF	proposal_evaluations	Revenue & CRM	keep	proposal_evaluations
BF	ide_datasets	Agents & runtime	keep	ide_datasets
BF	ide_training_jobs	Agents & runtime	primitive	run
BF	ide_training_logs	Agents & runtime	primitive	event_log
BF	mailbox_connections	Integrations	primitive	connection
BF	ingestion_usage_log	Platform & observability	primitive	event_log
BF	email_delivery_failures	Growth & marketing	keep	email_delivery_failures
BF	integration_credentials	Integrations	primitive	credential
BF	integration_sync_logs	Integrations	primitive	event_log
BF	import_staged_items	Integrations	primitive	sync_state
BF	import_type_mappings	Integrations	primitive	relation
BF	webhook_deliveries	Integrations	primitive	webhook
BF	studio_voice_clones	Canvas & ideas	primitive	artifact
BF	studio_voice_clone_licenses	Canvas & ideas	primitive	artifact
BF	studio_voiceovers	Canvas & ideas	primitive	artifact
BF	innovation_ideas	Investor & portfolio	keep	innovation_ideas
BF	outbound_fetch_log	Platform & observability	primitive	event_log
BF	connectors	Integrations	keep	connectors
BF	connector_connections	Integrations	primitive	connection
BF	connector_call_logs	Integrations	primitive	event_log
BF	portfolios	Delivery & work	primitive	work_item
BF	initiatives	Delivery & work	primitive	work_item
BF	objectives	Canvas & ideas	primitive	work_item
BF	objective_links	Canvas & ideas	primitive	share_link
BF	key_results	Delivery & work	primitive	work_item
BF	pmo_dependencies	Delivery & work	primitive	relation
BF	capacity_planning	Delivery & work	keep	capacity_planning
BF	allocation_goals	Platform & observability	primitive	work_item
BF	headcount_events	People & HR	primitive	event_log
BF	open_positions	Hiring	keep	open_positions
BF	ai_program_initiatives	Agents & runtime	keep	ai_program_initiatives
BF	rd_fte_allocation_quarterly	Finance	merged	(folded into a sibling)
BF	marketplace_skills	Commerce	keep	marketplace_skills
BF	marketplace_skill_likes	Commerce	primitive	annotation
BF	artifact_likes	Canvas & ideas	primitive	annotation
BF	managed_agent_host_requests	Platform & observability	merged	(folded into a sibling)
BF	manager_directives	Agents & runtime	keep	manager_directives
BF	manager_actions	Agents & runtime	keep	manager_actions
BF	manager_stall_watch	Agents & runtime	keep	manager_stall_watch
BF	manager_systemic_findings	Agents & runtime	keep	manager_systemic_findings
BF	agents	Agents & runtime	keep	agents
BF	agent_registrations	Agents & runtime	primitive	connection
BF	ide_agents	Agents & runtime	keep	ide_agents
BF	skills	Agents & runtime	keep	skills
BF	agent_hosts	Agents & runtime	keep	agent_hosts
BF	executions	Agents & runtime	primitive	run
BF	execution_lifecycle_outbox	Agents & runtime	keep	execution_lifecycle_outbox
BF	execution_messages	Agents & runtime	primitive	message
BF	agent_host_skill_assignments	Agents & runtime	primitive	membership
BF	artifact_assignments	Canvas & ideas	primitive	membership
BF	agent_assignments	Agents & runtime	primitive	membership
BF	agent_purchases	Agents & runtime	primitive	ledger_entry
BF	agent_feedback	Agents & runtime	keep	agent_feedback
BF	agent_host_directories	Agents & runtime	keep	agent_host_directories
BF	agent_host_directory_files	Agents & runtime	keep	agent_host_directory_files
BF	workflows	Agents & runtime	keep	workflows
BF	workflow_definitions	Agents & runtime	primitive	catalog_item
BF	workflow_triggers	Agents & runtime	keep	workflow_triggers
BF	usage_snapshots	Finance	primitive	snapshot
BF	tool_audit_events	Agents & runtime	primitive	event_log
BF	telemetry_spans	Agents & runtime	keep	telemetry_spans
BF	cron_jobs	Platform & observability	primitive	run
BF	agent_memory	Agents & runtime	keep	agent_memory
BF	qa_runs	Delivery & work	primitive	run
BF	qa_run_steps	Delivery & work	primitive	run
BF	ticket_runs	Support & knowledge	primitive	run
BF	job_roles	Hiring	keep	job_roles
BF	import_runs	Integrations	primitive	run
BF	run_model_outcomes	Agents & runtime	keep	run_model_outcomes
BF	repo_analysis_runs	Delivery & work	primitive	run
BF	repo_analysis_artifacts	Delivery & work	keep	repo_analysis_artifacts
BF	agent_dispatches	Agents & runtime	primitive	webhook
BF	tool_runs	Agents & runtime	primitive	run
BF	marketing_tool_runs	Growth & marketing	primitive	run
BF	job_postings	Hiring	keep	job_postings
BF	job_proposals	Hiring	keep	job_proposals
BF	execution_rollbacks	Agents & runtime	keep	execution_rollbacks
BF	agent_inference_logs	Agents & runtime	primitive	event_log
BF	agent_knowledge_chunks	Agents & runtime	keep	agent_knowledge_chunks
BF	resource_leases	Agents & runtime	keep	resource_leases
BF	coordination_notes	Platform & observability	primitive	annotation
BF	project_insight_events	Delivery & work	primitive	event_log
BF	projects	Delivery & work	keep	projects
BF	project_sites	Delivery & work	keep	project_sites
BF	tasks	Delivery & work	primitive	work_item
BF	task_reviews	Delivery & work	primitive	annotation
BF	work_deltas	Delivery & work	keep	work_deltas
BF	project_manager_configs	Delivery & work	primitive	setting
BF	task_status_transitions	Delivery & work	primitive	event_log
BF	project_agents	Delivery & work	merged	(folded into a sibling)
BF	agent_host_projects	Agents & runtime	flatten	a column, array or JSONB key
BF	agent_host_sync_history	Agents & runtime	primitive	event_log
BF	specs	Delivery & work	keep	specs
BF	task_specs	Delivery & work	merged	(folded into a sibling)
BF	workflow_tasks	Agents & runtime	keep	workflow_tasks
BF	ide_projects	Agents & runtime	keep	ide_projects
BF	project_memories	Delivery & work	merged	(folded into a sibling)
BF	team_projects	Identity & tenancy	flatten	a column, array or JSONB key
BF	project_facts	Delivery & work	merged	(folded into a sibling)
BF	roadmap_items	Delivery & work	primitive	work_item
BF	sprints	Delivery & work	keep	sprints
BF	task_dependencies	Delivery & work	primitive	relation
BF	boards	Delivery & work	keep	boards
BF	swimlanes	Delivery & work	keep	swimlanes
BF	swimlane_agent_assignments	Delivery & work	primitive	membership
BF	swimlane_transitions	Delivery & work	primitive	event_log
BF	kanban_templates	Delivery & work	primitive	catalog_item
BF	kanban_template_lanes	Delivery & work	merged	(folded into a sibling)
BF	kanban_template_lane_requirements	Delivery & work	keep	kanban_template_lane_requirements
BF	swimlane_requirements	Delivery & work	merged	(folded into a sibling)
BF	project_role_assignments	Delivery & work	primitive	membership
BF	ticket_role_signoffs	Support & knowledge	keep	ticket_role_signoffs
BF	ticket_participants	Support & knowledge	primitive	membership
BF	board_connections	Delivery & work	primitive	connection
BF	external_ticket_links	Integrations	primitive	share_link
BF	board_sync_outbox	Delivery & work	primitive	sync_state
BF	board_type_mappings	Delivery & work	primitive	relation
BF	import_staged_projects	Integrations	primitive	sync_state
BF	spec_versions	Delivery & work	primitive	revision
BF	spec_audit_records	Delivery & work	keep	spec_audit_records
BF	project_repositories	Delivery & work	keep	project_repositories
BF	project_evermind	Delivery & work	merged	(folded into a sibling)
BF	prod_incident_implicated_tasks	Delivery & work	keep	prod_incident_implicated_tasks
BF	monitoring_boards	Platform & observability	keep	monitoring_boards
BF	saved_dashboards	Revenue & CRM	merged	(folded into a sibling)
BF	dashboard_widgets	Platform & observability	keep	dashboard_widgets
BF	dashboard_pins	Platform & observability	keep	dashboard_pins
BF	delay_reasons	Delivery & work	merged	(folded into a sibling)
BF	task_file_changes	Delivery & work	keep	task_file_changes
BF	project_secrets	Delivery & work	primitive	credential
BF	project_backends	Delivery & work	merged	(folded into a sibling)
BF	project_game_targets	Delivery & work	keep	project_game_targets
BF	project_backend_requests	Delivery & work	merged	(folded into a sibling)
BF	challenges	Governance & security	keep	challenges
HV	impersonation_sessions	Identity & tenancy	merged	(folded into a sibling)
HV	impersonation_role_switches	Identity & tenancy	merged	(folded into a sibling)
HV	modules	Investor & portfolio	keep	modules
HV	user_module_assignments	Identity & tenancy	primitive	membership
HV	user_plan_overrides	Identity & tenancy	primitive	relation
HV	boosts	Growth & marketing	keep	boosts
HV	job_boosts	Hiring	merged	(folded into a sibling)
HV	company_boosts	Identity & tenancy	merged	(folded into a sibling)
HV	ad_campaigns	Growth & marketing	keep	ad_campaigns
HV	ad_sets	Growth & marketing	keep	ad_sets
HV	ads	Growth & marketing	keep	ads
HV	enrichment_credits	Revenue & CRM	primitive	ledger_entry
HV	enrichment_transactions	Revenue & CRM	primitive	ledger_entry
HV	campaign_dollars_balance	Growth & marketing	primitive	ledger_entry
HV	campaign_dollars_transactions	Growth & marketing	primitive	ledger_entry
HV	career_resilience_reports	People & HR	merged	(folded into a sibling)
HV	affiliate_profiles	Growth & marketing	primitive	party_role
HV	affiliate_referrals	Growth & marketing	keep	affiliate_referrals
HV	affiliate_conversions	Growth & marketing	primitive	revision
HV	affiliate_payouts	Growth & marketing	primitive	ledger_entry
HV	affiliate_tiers	Growth & marketing	primitive	catalog_item
HV	affiliate_link_clicks	Growth & marketing	merged	(folded into a sibling)
HV	ai_chat_sessions	Agents & runtime	session	creation_session + live session
HV	ai_chat_messages	Agents & runtime	primitive	message
HV	ai_usage_records	Agents & runtime	keep	ai_usage_records
HV	user_token_balance	Identity & tenancy	primitive	ledger_entry
HV	company_token_balance	Identity & tenancy	primitive	ledger_entry
HV	token_pack_purchases	Platform & observability	primitive	ledger_entry
HV	artifact_views	Canvas & ideas	session	creation_session + live session
HV	profile_views	Platform & observability	session	creation_session + live session
HV	activity_logs	Platform & observability	primitive	event_log
HV	request_logs	Platform & observability	primitive	event_log
HV	dashboard_metrics	Platform & observability	primitive	metric_fact
HV	user_engagement_metrics	Identity & tenancy	primitive	metric_fact
HV	notifications	Platform & observability	primitive	webhook
HV	marketing_leads	Growth & marketing	keep	marketing_leads
HV	api_keys	Platform & observability	primitive	credential
HV	articles	Growth & marketing	session	creation_session + live session
HV	article_versions	Growth & marketing	primitive	revision
HV	article_engagement	Growth & marketing	primitive	metric_fact
HV	article_claps	Growth & marketing	primitive	metric_fact
HV	article_shares	Growth & marketing	primitive	share_link
HV	partner_program_opt_ins	Commerce	keep	partner_program_opt_ins
HV	partner_payout_periods	Commerce	primitive	ledger_entry
HV	partner_payouts	Commerce	primitive	ledger_entry
HV	partner_program_balances	Commerce	primitive	ledger_entry
HV	skill_assessments	Agents & runtime	primitive	question_set
HV	assessment_attempts	Hiring	primitive	run
HV	assessment_runs	Hiring	primitive	run
HV	assessment_dimension_norms	Hiring	flatten	an enum + CHECK
HV	application_form_answers	Hiring	primitive	message
HV	answer_cache	Agents & runtime	keep	answer_cache
HV	subscription_plans	Finance	merged	billing_plans
HV	subscriptions	Finance	primitive	connection
HV	payment_methods	Finance	keep	payment_methods
HV	invoices	Finance	primitive	ledger_entry
HV	invoice_line_items	Finance	keep	invoice_line_items
HV	refund_requests	Platform & observability	merged	(folded into a sibling)
HV	billing_events	Finance	primitive	event_log
HV	usage_records	Finance	primitive	ledger_entry
HV	company_subscriptions	Identity & tenancy	primitive	connection
HV	booking_offerings	Commerce	primitive	catalog_item
HV	booking_availability_rules	Commerce	primitive	setting
HV	booking_availability_overrides	Commerce	primitive	relation
HV	booking_reservations	Commerce	keep	booking_reservations
HV	booking_comments	Commerce	primitive	annotation
HV	booking_payout_records	Commerce	primitive	ledger_entry
HV	scheduled_events	Platform & observability	primitive	event_log
HV	availability_slots	Identity & tenancy	keep	availability_slots
HV	calibration_sessions	Identity & tenancy	session	creation_session + live session
HV	calibration_submissions	Platform & observability	primitive	response
HV	candidate_resumes	Hiring	keep	candidate_resumes
HV	redaction_profiles	Platform & observability	primitive	party_role
HV	candidate_resume_shares	Hiring	primitive	share_link
HV	pitch_decks	Investor & portfolio	session	creation_session + live session
HV	pitch_deck_candidates	Investor & portfolio	primitive	artifact
HV	pitch_deck_shares	Investor & portfolio	primitive	share_link
HV	coffee_requests	Platform & observability	merged	(folded into a sibling)
HV	community_resources	Commerce	keep	community_resources
HV	company_profiles	Identity & tenancy	primitive	party_role
HV	company_embed_keys	Identity & tenancy	primitive	share_link
HV	user_company_role_associations	Identity & tenancy	primitive	relation
HV	company_followers	Identity & tenancy	primitive	membership
HV	company_locations	Identity & tenancy	merged	(folded into a sibling)
HV	company_team_members	Identity & tenancy	primitive	membership
HV	company_views	Identity & tenancy	merged	(folded into a sibling)
HV	employer_branding_pages	Growth & marketing	keep	employer_branding_pages
HV	company_integrations	Identity & tenancy	primitive	connection
HV	workspace_compliance_policy	Identity & tenancy	merged	(folded into a sibling)
HV	workspace_email_safety_policy	Identity & tenancy	merged	(folded into a sibling)
HV	email_push_subscriptions	Growth & marketing	primitive	connection
HV	content_audiences	Growth & marketing	keep	content_audiences
HV	content_locations	Growth & marketing	keep	content_locations
HV	courses	People & HR	keep	courses
HV	course_modules	People & HR	keep	course_modules
HV	course_lessons	People & HR	keep	course_lessons
HV	course_enrollments	People & HR	keep	course_enrollments
HV	course_certificates	People & HR	keep	course_certificates
HV	lms_connectors	People & HR	keep	lms_connectors
HV	lms_course_publishes	People & HR	keep	lms_course_publishes
HV	course_checkouts	People & HR	keep	course_checkouts
HV	creator_youtube_ingests	Growth & marketing	keep	creator_youtube_ingests
HV	creator_profiles	Platform & observability	primitive	party_role
HV	portfolio_items	Delivery & work	keep	portfolio_items
HV	promo_projects	Growth & marketing	keep	promo_projects
HV	promo_project_revisions	Growth & marketing	primitive	revision
HV	promo_project_extra_revision_purchases	Growth & marketing	primitive	ledger_entry
HV	event_attendees	Growth & marketing	primitive	membership
HV	event_co_hosts	Growth & marketing	session	creation_session + live session
HV	event_waitlist	Growth & marketing	keep	event_waitlist
HV	event_reminders_sent	Growth & marketing	keep	event_reminders_sent
HV	event_matchmaking	Growth & marketing	keep	event_matchmaking
HV	event_categories	Growth & marketing	keep	event_categories
HV	extension_sessions	Identity & tenancy	keep	extension_sessions
HV	extension_events	Identity & tenancy	primitive	event_log
HV	inbox_profiles	Platform & observability	primitive	party_role
HV	external_email_accounts	Integrations	primitive	connection
HV	external_email_messages	Integrations	primitive	message
HV	email_user_rules	Growth & marketing	primitive	setting
HV	email_sync_runs	Growth & marketing	primitive	sync_state
HV	feed_posts	Growth & marketing	keep	feed_posts
HV	feed_post_likes	Growth & marketing	primitive	annotation
HV	feed_comment_reactions	Growth & marketing	primitive	annotation
HV	feed_post_comments	Growth & marketing	primitive	annotation
HV	feed_post_reports	Growth & marketing	merged	(folded into a sibling)
HV	feed_features	Growth & marketing	keep	feed_features
HV	follow_up_sequences	Growth & marketing	merged	(folded into a sibling)
HV	follow_up_steps	Growth & marketing	primitive	run
HV	follow_up_enrollments	Growth & marketing	keep	follow_up_enrollments
HV	follow_up_logs	Growth & marketing	primitive	event_log
HV	game_play_invites	Canvas & ideas	primitive	invitation
HV	game_agent_conversations	Canvas & ideas	primitive	thread
HV	user_points_balance	Identity & tenancy	primitive	ledger_entry
HV	points_ledger	People & HR	primitive	ledger_entry
HV	points_activity_counters	People & HR	primitive	ledger_entry
HV	points_streaks	People & HR	primitive	ledger_entry
HV	points_task_streaks	People & HR	primitive	ledger_entry
HV	points_fraud_flags	People & HR	primitive	alert_event
HV	badges	People & HR	keep	badges
HV	user_badges	Identity & tenancy	keep	user_badges
HV	point_redemptions	Finance	keep	point_redemptions
